Datum;Km-Stand;Teil-Km;Spritmenge;Kosten;Währung;Tankart;Reifen;Strecken;Fahrweise;Kraftstoff;Bemerkung;Verbrauch;BC-Verbrauch;BC-Spritmenge;BC-Geschwindigkeit;Tankstelle;Land;Großraum;Ort
20.06.2020;41360,00;178,00;13,61;7,34;"EUR";1;1;2;2;12;"";7,65;;;;"";"D";"";""
12.06.2020;41182,00;295,00;25,48;15,01;"EUR";1;1;2;2;12;"";8,64;;;;"";"D";"";""
09.05.2020;40887,00;141,00;10,54;5,68;"EUR";1;1;2;2;12;"";7,48;;;;"";"D";"";""
09.05.2020;40746,00;217,00;20,14;12,87;"EUR";1;1;2;2;12;"";9,28;;;;"";"D";"";""
16.04.2020;40529,00;224,00;17,08;9,55;"EUR";1;1;2;2;12;"";7,63;;;;"";"D";"";""
31.03.2020;40305,00;290,00;24,10;15,40;"EUR";1;2;2;2;12;"";8,31;;;;"";"D";"";""
07.03.2020;40015,00;227,00;17,27;11,04;"EUR";1;2;2;2;12;"";7,61;;;;"";"D";"";""
02.03.2020;39788,00;2444,00;9,88;12,83;"EUR";2;0;0;0;7;"";0,00;;;;"";"D";"";""
02.03.2020;39788,00;271,00;24,41;15,60;"EUR";1;2;2;2;12;"";9,01;;;;"";"D";"";""
01.03.2020;39517,00;324,00;29,34;18,75;"EUR";1;2;2;2;12;"";9,06;;;;"";"D";"";""
01.03.2020;39193,00;175,00;13,29;8,23;"EUR";1;2;2;2;12;"";7,59;;;;"";"D";"";""
28.02.2020;39018,00;176,00;14,99;9,00;"EUR";1;2;2;2;12;"";8,52;;;;"";"D";"";""
28.02.2020;38842,00;259,00;20,93;13,40;"EUR";1;2;2;2;12;"";8,08;;;;"";"D";"";""
28.02.2020;38583,00;176,00;12,50;7,90;"EUR";1;2;2;2;12;"";7,10;;;;"";"D";"";""
15.02.2020;38407,00;256,00;24,79;15,59;"EUR";1;2;2;2;12;"";9,68;;;;"";"D";"";""
09.02.2020;38151,00;258,00;21,56;13,78;"EUR";1;2;2;2;12;"";8,36;;;;"";"D";"";""
07.02.2020;37893,00;58,00;3,37;2,12;"EUR";1;2;6;2;12;"";5,81;;;;"";"D";"";""
02.02.2020;37835,00;253,00;21,74;13,89;"EUR";1;2;2;2;12;"";8,59;;;;"";"D";"";""
25.01.2020;37582,00;238,00;20,31;12,98;"EUR";1;2;6;2;12;"";8,53;;;;"";"D";"";""
24.11.2019;37344,00;2833,00;9,72;13,70;"EUR";2;0;0;0;7;"";0,00;;;;"";"D";"";""
24.11.2019;37344,00;212,00;18,41;10,29;"EUR";1;2;2;2;12;"";8,68;;;;"";"D";"";""
24.11.2019;37132,00;210,00;20,08;8,63;"EUR";1;2;2;3;12;"";9,56;;;;"";"B";"";""
24.11.2019;36922,00;316,00;21,07;11,78;"EUR";1;1;14;2;12;"";6,67;;;;"";"D";"";""
18.10.2019;36606,00;265,00;24,11;15,41;"EUR";1;1;14;2;12;"";9,10;;;;"";"D";"";""
07.10.2019;36341,00;162,00;12,65;7,07;"EUR";1;1;2;2;12;"";7,81;;;;"";"D";"";""
05.10.2019;36179,00;315,00;26,65;17,03;"EUR";1;1;2;2;12;"";8,46;;;;"";"D";"";""
28.09.2019;35864,00;302,00;23,33;14,44;"EUR";1;1;2;2;12;"";7,73;;;;"";"D";"";""
27.09.2019;35562,00;146,00;12,82;8,06;"EUR";1;1;12;2;12;"";8,78;;;;"";"D";"";""
25.09.2019;35416,00;214,00;18,29;11,50;"EUR";1;1;12;2;12;"";8,55;;;;"";"D";"";""
06.09.2019;35202,00;274,00;24,83;15,62;"EUR";1;1;12;2;12;"";9,06;;;;"";"D";"";""
30.08.2019;34928,00;295,00;25,43;16,00;"EUR";1;1;14;1;12;"";8,62;;;;"";"D";"";""
